"species","model","cv","COR","ROC","PRG"
"awt01","BRT","spatial",0.204491066289823,0.627432503506313,0.320787926816086
"awt01","BRT","random",0.291077687728048,0.698281907433382,0.523493957094073
"awt01","Ensemble","spatial",0.25702923858579,0.6656293828892,0.450231961603656
"awt01","Ensemble","random",0.308498902928299,0.701086956521744,0.544137705498678
"awt01","GAM","spatial",0.25232043232705,0.660457573632542,0.41128451209367
"awt01","GAM","random",0.268250855657123,0.674526647966341,0.411112390203641
"awt01","GAM-unweighted","spatial",0.270207369204112,0.670625876577844,0.479258390495738
"awt01","GAM-unweighted","random",0.276357408844183,0.672992636746143,0.425221322036137
"awt01","GLM","spatial",0.270278289616432,0.668872720897616,0.482949895611308
"awt01","GLM","random",0.208043820772525,0.623203015427771,0.299218716749327
"awt01","GLM-unweighted","spatial",0.255726325281728,0.657630610098178,0.389455567719981
"awt01","GLM-unweighted","random",0.280867880444544,0.670187587657788,0.416797017616849
"awt01","Lasso","spatial",0.241731209500285,0.667645511921458,0.524152269350202
"awt01","Lasso","random",0.281699438442151,0.689822931276298,0.54141047677535
"awt01","MARS","spatial",0.26032556973059,0.64476683029453,0.319655136982985
"awt01","MARS","random",0.311881290860384,0.684212833099583,0.359443435389572
"awt01","MaxEnt","spatial",0.270291116588904,0.669573983169709,0.405309971749281
"awt01","MaxEnt","random",0.268514912283288,0.667382538569426,0.419308785985496
"awt01","MaxEnt-LQ","spatial",0.240922379029702,0.661071178120619,0.49750734496728
"awt01","MaxEnt-LQ","random",0.254848069504064,0.663087307152881,0.480785586495659
"awt01","MaxEnt-noclamp","spatial",0.261129799877417,0.666286816269286,0.390525216052775
"awt01","MaxEnt-noclamp","random",0.268512524562165,0.667382538569426,0.419308785985496
"awt01","MaxEnt-tuned","spatial",0.187760748509435,0.612136220196354,0.228139703558643
"awt01","MaxEnt-spatial-tuned","spatial",0.25652446657592,0.660238429172513,0.416489636282292
"awt01","MaxEnt-tuned","random",0.29638748591263,0.694907082748951,0.507244206193643
"awt01","Ranger","spatial",0.289748453656204,0.69740532959327,0.548161540495736
"awt01","Ranger","random",0.295494979981381,0.71178120617111,0.596137433523705
"awt01","RF","spatial",0.285068149719515,0.683949859747549,0.460293087749242
"awt01","RF","random",0.320227422277084,0.696397265077143,0.511845782515533
"awt01","SVM","spatial",0.104814019549077,0.570871318373072,0.304257585663176
"awt01","SVM","random",0.27391140630054,0.665541725105194,0.462035814078971
"awt02","BRT","spatial",0.551913525814273,0.730982776089162,0.717308523558233
"awt02","BRT","random",0.600528854055439,0.807152988855117,0.81528647910869
"awt02","Ensemble","spatial",0.676897284989895,0.896940222897675,0.887656534248826
"awt02","Ensemble","random",0.61658396353284,0.863181357649443,0.849397009939338
"awt02","GAM","spatial",0.570423804551072,0.772320162107399,0.781043865191592
"awt02","GAM","random",0.606779966595623,0.84166160081054,0.84438768941654
"awt02","GAM-unweighted","spatial",0.594514169790262,0.772725430597775,0.798886428859148
"awt02","GAM-unweighted","random",0.585604519002232,0.823667679837895,0.815517327881331
"awt02","GLM","spatial",0.58750653959932,0.82792299898683,0.813967441289414
"awt02","GLM","random",0.628390209607353,0.869969604863225,0.856909834057566
"awt02","GLM-unweighted","spatial",0.580533796602052,0.80488348530902,0.785330791483682
"awt02","GLM-unweighted","random",0.588453448805395,0.850395136778118,0.826741132198486
"awt02","Lasso","spatial",0.573410149123149,0.797568389057752,0.772419491266847
"awt02","Lasso","random",0.637276624019537,0.877548125633235,0.865457398482275
"awt02","MARS","spatial",0.491974641761922,0.802897669706181,0.784995147192904
"awt02","MARS","random",0.582876619421951,0.810233029381964,0.809699384012074
"awt02","MaxEnt","spatial",0.584847981539347,0.824275582573456,0.81221249182691
"awt02","MaxEnt","random",0.606889568151297,0.858439716312061,0.840687646188669
"awt02","MaxEnt-LQ","spatial",0.613153738472935,0.829989868287743,0.836855521400331
"awt02","MaxEnt-LQ","random",0.62674111222755,0.874245187436681,0.86445924754572
"awt02","MaxEnt-noclamp","spatial",0.442382096977812,0.782249240121581,0.711456879118831
"awt02","MaxEnt-noclamp","random",0.606886452564652,0.858439716312061,0.840687646188669
"awt02","MaxEnt-tuned","spatial",0.568781145872767,0.781641337386017,0.777888296762425
"awt02","MaxEnt-spatial-tuned","spatial",0.602888513794682,0.845126646403244,0.810962922359936
"awt02","MaxEnt-tuned","random",0.625550943659974,0.862249240121586,0.85350634479084
"awt02","Ranger","spatial",0.687390846689074,0.917933130699092,0.900000921407821
"awt02","Ranger","random",0.661148278526244,0.916352583586633,0.877759682341731
"awt02","RF","spatial",0.578509276018194,0.836149949341441,0.823721139925179
"awt02","RF","random",0.618689145706549,0.872705167173253,0.86079958728647
"awt02","SVM","spatial",0.592091359561971,0.808226950354609,0.819842139486971
"awt02","SVM","random",0.577414335027899,0.838500506585612,0.835724061066003
"awt03","BRT","spatial",0.157217077616761,0.604504206620376,0.231522891952561
"awt03","BRT","random",0.170549723387883,0.574598625959804,0.14786675909223
"awt03","Ensemble","spatial",0.171151993890186,0.606157463536498,0.236239306684295
"awt03","Ensemble","random",0.19988088767446,0.603989860024245,0.248112728456683
"awt03","GAM","spatial",0.139936335103859,0.580697307028179,0.194285557952975
"awt03","GAM","random",0.119843375656995,0.550277379771483,0.122588124278054
"awt03","GAM-unweighted","spatial",0.163201148669773,0.58804511554429,0.208564719313512
"awt03","GAM-unweighted","random",0.104368598480579,0.545133913810205,0.0644028786712647
"awt03","GLM","spatial",0.127436805676102,0.563778977919835,0.165552361367512
"awt03","GLM","random",0.125446739901578,0.555475954296629,0.169869067218529
"awt03","GLM-unweighted","spatial",0.112079464217156,0.564256585473381,0.15905218427244
"awt03","GLM-unweighted","random",0.094489236464329,0.54348065689408,0.119830838196827
"awt03","Lasso","spatial",0.205339211270718,0.624600462911935,0.305999353642099
"awt03","Lasso","random",0.181508539513945,0.579999265219148,0.182773367241191
"awt03","MARS","spatial",0.104341251714706,0.551030530144383,0.0629366933730511
"awt03","MARS","random",0.077137426016102,0.526047981189608,-0.0372765438343628
"awt03","MaxEnt","spatial",0.174839788375488,0.604467467577794,0.220029140970133
"awt03","MaxEnt","random",0.17331959485181,0.579668613835922,0.176791462837395
"awt03","MaxEnt-LQ","spatial",0.0890733371175804,0.547962820088908,0.11401265251611
"awt03","MaxEnt-LQ","random",0.122149721335986,0.552591939454058,0.157133048750668
"awt03","MaxEnt-noclamp","spatial",0.0340731087620705,0.527903302839927,0.0789883418559175
"awt03","MaxEnt-noclamp","random",0.173590116495595,0.579742091921083,0.176843292251053
"awt03","MaxEnt-tuned","spatial",0.178332493786246,0.598405525552003,0.185212616826172
"awt03","MaxEnt-spatial-tuned","spatial",0.159131596084145,0.583305779051398,0.111157975185136
"awt03","MaxEnt-tuned","random",0.0847183424638627,0.532146662257981,0.0704469189834234
"awt03","Ranger","spatial",0.0466486868915663,0.502663580587089,0.0163406392630226
"awt03","Ranger","random",0.0827058100175336,0.525625482199932,0.0151624950981131
"awt03","RF","spatial",0.173919458174851,0.632168705683527,0.349885962218636
"awt03","RF","random",0.274338618635864,0.652264961975087,0.342845817268247
"awt03","SVM","spatial",0.123152581601222,0.613615489180348,0.305106698738499
"awt03","SVM","random",0.0974877175528308,0.565891472868215,0.12205693308252
"awt04","BRT","spatial",0.060040762521977,0.536844484629293,0.106563118253674
"awt04","BRT","random",-0.0632635823648593,0.4634858812074,-0.0821593004592018
"awt04","Ensemble","spatial",-0.00358820254949692,0.501877868966476,-0.00912555264087065
"awt04","Ensemble","random",-0.0603446783341417,0.47708304353874,-0.0676810618704406
"awt04","GAM","spatial",0.0482061242333487,0.530254555571011,0.0682504189920333
"awt04","GAM","random",-0.0497275355053228,0.48501182361942,-0.0674163929874047
"awt04","GAM-unweighted","spatial",0.0279985784885868,0.519404645986923,0.0462852892344058
"awt04","GAM-unweighted","random",-0.0178162587412795,0.481047433579078,-0.0917828928570453
"awt04","GLM","spatial",0.0427006408011754,0.536461955765753,0.101272377569751
"awt04","GLM","random",-0.0587458176074441,0.464581304771179,-0.127943135686484
"awt04","GLM-unweighted","spatial",0.0548638650335146,0.537974683544303,0.116573415079695
"awt04","GLM-unweighted","random",-0.0388521354656796,0.46298163861455,-0.124876856615128
"awt04","Lasso","spatial",-0.0135896764031544,0.524134093754347,0.0596366641528462
"awt04","Lasso","random",-0.0123171816261315,0.517718041452219,0.0310452440486577
"awt04","MARS","spatial",-0.0235009648385645,0.487324384476282,0.00361910539631143
"awt04","MARS","random",-0.0708279580703082,0.452983725135624,-0.154505119675945
"awt04","MaxEnt","spatial",-0.0102203134163717,0.497948254277368,-0.0111162146701355
"awt04","MaxEnt","random",-0.0469271506757916,0.474822645708722,-0.0994363932602955
"awt04","MaxEnt-LQ","spatial",0.0626871460553875,0.535818611767978,0.0804852490436348
"awt04","MaxEnt-LQ","random",-0.0249144241342626,0.498748087355682,-0.0406093058207381
"awt04","MaxEnt-noclamp","spatial",-0.0190790374827138,0.497670051467521,-0.0100061192653283
"awt04","MaxEnt-noclamp","random",-0.0470645729561453,0.474787870357491,-0.0995157216407946
"awt04","MaxEnt-tuned","spatial",0.0612082681987026,0.531576018917791,0.111999904339217
"awt04","MaxEnt-spatial-tuned","spatial",0.0255101210381588,0.519039504798998,0.034312710667027
"awt04","MaxEnt-tuned","random",-0.0768025495291162,0.453070663513701,-0.118947813615958
"awt04","Ranger","spatial",-0.0401541821486744,0.49109751008485,-0.0128559521154806
"awt04","Ranger","random",-0.0868631629983356,0.460773403811378,-0.143461441851249
"awt04","RF","spatial",0.00111645350784881,0.517057309778828,0.0512220809066236
"awt04","RF","random",-0.0317144324190759,0.480769230769231,-0.0456514489630465
"awt04","SVM","spatial",-0.0382618424903812,0.469571567672835,-0.0556667304678583
"awt04","SVM","random",-0.113190167539966,0.423876756155238,-0.185673982088111
"awt05","BRT","spatial",0.0940843265646874,0.607944230629582,0.364907214648347
"awt05","BRT","random",0.221307260042217,0.697334979304334,0.672903464467053
"awt05","Ensemble","spatial",0.0991278328566637,0.593203107980538,0.234930850853616
"awt05","Ensemble","random",0.230476655349476,0.697915910246171,0.659035266052084
"awt05","GAM","spatial",0.0583565484603103,0.544767990705107,0.171733835488148
"awt05","GAM","random",0.231246472252093,0.699150388497566,0.646801674296133
"awt05","GAM-unweighted","spatial",0.0145492283727336,0.52189383487038,-0.0706991831322511
"awt05","GAM-unweighted","random",0.139914017518379,0.619490233098541,0.292194196712919
"awt05","GLM","spatial",-0.000474419252615278,0.507697334979303,-0.158658012411232
"awt05","GLM","random",0.215581579044003,0.675985767191926,0.190647854229582
"awt05","GLM-unweighted","spatial",0.0145675310884339,0.544005518843947,-0.144793405796012
"awt05","GLM-unweighted","random",0.181051579993843,0.667707501270787,0.340838088472821
"awt05","Lasso","spatial",0.0750431820353389,0.567133831965725,0.0845957103014618
"awt05","Lasso","random",0.234535482683356,0.693050613608307,0.344358248024656
"awt05","MARS","spatial",0.0924153855709425,0.630782078280446,0.120284191116294
"awt05","MARS","random",0.162967686649518,0.646902911916345,0.26861903133381
"awt05","MaxEnt","spatial",0.0433648564848819,0.528501924333746,0.129220225483506
"awt05","MaxEnt","random",0.236784416413739,0.69784329387844,0.624327793766825
"awt05","MaxEnt-LQ","spatial",0.0486959513738839,0.543315663350521,0.131096636307315
"awt05","MaxEnt-LQ","random",0.245761267098028,0.713891511146611,0.542613470749587
"awt05","MaxEnt-noclamp","spatial",0.0451147955558735,0.53314937186842,0.130781547590836
"awt05","MaxEnt-noclamp","random",0.236786202726738,0.69784329387844,0.624327793766825
"awt05","MaxEnt-tuned","spatial",0.0643820935266609,0.545348921646937,-0.077715026690765
"awt05","MaxEnt-spatial-tuned","spatial",0.0324186550179175,0.521567061215599,0.214598867572155
"awt05","MaxEnt-tuned","random",0.260822957579266,0.724820274489869,0.472188549871558
"awt05","Ranger","spatial",0.0792679619245367,0.537796819403093,-0.0956500761476043
"awt05","Ranger","random",0.0797892669127823,0.548907123665674,-0.222150512214631
