"species","model","cv","COR","ROC","PRG"
"awt27","BRT-stump","random",0.334868345709973,0.727654320987649,0.591276308177849
"awt27","MaxEnt-LQP","spatial",0.250238111938103,0.672098765432095,0.482618116022214
"awt27","MaxEnt-LQP","random",0.437230181620321,0.797530864197524,0.661357263207153
"awt31","BRT-stump","spatial",-0.0442672933330542,0.50322580645161,0.00395326408769718
"awt31","BRT-stump","random",0.0630190296270895,0.531249999999998,-0.0887212267293135
"awt31","MaxEnt-LQP","spatial",-0.0649980589474776,0.537701612903226,0.0160651486296468
"awt31","MaxEnt-LQP","random",0.0902028367265915,0.625604838709679,0.0545570499125221
"awt33","BRT-stump","spatial",0.478198693473784,0.834935897435898,0.707993599059961
"awt33","BRT-stump","random",0.506951711714411,0.834401709401711,0.728321869118095
"awt33","MaxEnt-LQP","spatial",0.489056076050401,0.837072649572652,0.780614230851714
"awt33","MaxEnt-LQP","random",0.486648152996553,0.829594017094019,0.770839194049988
"awt35","BRT-stump","spatial",0.237289130420353,0.679038461538461,0.39045812668305
"awt35","BRT-stump","random",0.244343330977448,0.639038461538462,0.232569632932939
"awt35","MaxEnt-LQP","spatial",0.0999506817502093,0.551538461538458,0.13215378122877
"awt35","MaxEnt-LQP","random",0.153725293318081,0.578461538461536,0.117887445898791
"awt36","BRT-stump","spatial",0.0263468175190091,0.510765090349864,-0.0235783032563088
"awt36","BRT-stump","random",-0.0163143523698992,0.500192233756244,-0.0882721421385298
"awt36","MaxEnt-LQP","spatial",-0.069952258818755,0.469434832756636,-0.0270271208803858
"awt36","MaxEnt-LQP","random",0.0087040523291232,0.501730103806232,0.067961152857511
"awt37","BRT-stump","spatial",0.44311572520646,0.818342151675484,0.753630475418348
"awt37","BRT-stump","random",0.44913214344801,0.817754262198706,0.67460410870098
"awt37","MaxEnt-LQP","spatial",0.462384845072814,0.812463256907702,0.616677550870856
"awt37","MaxEnt-LQP","random",0.441410680910358,0.793062904174016,0.515838020112817
"awt38","BRT-stump","spatial",0.319358352779461,0.735101744186055,0.557996582346402
"awt38","BRT-stump","random",0.33595928605766,0.763808139534884,0.608494072656105
"awt38","MaxEnt-LQP","spatial",0.318829772350494,0.735465116279067,0.604036724894703
"awt38","MaxEnt-LQP","random",0.429867791096433,0.813226744186048,0.749609775660029
"awt39","BRT-stump","spatial",0.511751162175246,0.854241071428562,0.807375250712392
"awt39","BRT-stump","random",0.334037560661771,0.72678571428571,0.606804089598306
"awt39","MaxEnt-LQP","spatial",0.344462206220176,0.682366071428568,0.495009365410794
"awt39","MaxEnt-LQP","random",0.215512318196169,0.614285714285709,0.182018795281977
"can01","BRT-stump","spatial",0.249836352291798,0.938558950773556,0.93291139570198
"can01","BRT-stump","random",0.252334565594079,0.945058709749746,0.967931131303966
"can01","MaxEnt-LQP","spatial",0.273758156602764,0.942142019081766,0.850750912063779
"can01","MaxEnt-LQP","random",0.280202422923894,0.943076403015961,0.902866570919472
"can02","BRT-stump","spatial",0.28739029087137,0.711767073117115,0.488319997736732
"can02","BRT-stump","random",0.291401220685095,0.715304721168961,0.507698578980543
"can02","MaxEnt-LQP","spatial",0.270776687586199,0.705376177566904,0.48486560294798
"can02","MaxEnt-LQP","random",0.279349054313292,0.709137683527866,0.490241483565227
"can03","BRT-stump","spatial",0.114133744721371,0.653314003892005,0.417755364587285
"can03","BRT-stump","random",0.115391009142555,0.650623938118411,0.301283929132588
"can03","MaxEnt-LQP","spatial",0.113426252222151,0.650475926034574,0.398293086218456
"can03","MaxEnt-LQP","random",0.117316274423125,0.656120284281674,0.420382898519939
"can04","BRT-stump","spatial",0.14226844050723,0.669061943160947,0.2492669456187
"can04","BRT-stump","random",0.148276006885228,0.672252166553962,0.563664067416168
"can04","MaxEnt-LQP","spatial",0.164794794326419,0.693651223113959,0.615795442458117
"can04","MaxEnt-LQP","random",0.168643572329811,0.704588172659941,0.621797737423636
"can05","BRT-stump","spatial",0.0848128364340198,0.603611423305636,0.319274482136925
"can05","BRT-stump","random",0.093644747440286,0.616300430182524,0.4326362168403
"can05","MaxEnt-LQP","spatial",0.106954290025389,0.631426664427458,0.362540294655098
"can05","MaxEnt-LQP","random",0.118351536435502,0.640286659173979,0.547309980605575
"can06","BRT-stump","spatial",0.104959117318863,0.879582145261447,0.185823376462695
"can06","BRT-stump","random",0.105336646773377,0.868282574396914,-0.157033907065055
"can06","MaxEnt-LQP","spatial",0.103424490509927,0.878414434131217,0.973514329019275
"can06","MaxEnt-LQP","random",0.109529544912985,0.887721683167548,0.537349961750114
